,Theta
0,453.0920958613195
1,443.9526343251588
2,495.9963840966722
3,458.7073810291366
4,491.6094425593151
5,465.726487488908
6,457.6837613370866
7,441.61293217190166
8,457.537529952508
9,456.8063730296152
10,467.04256995011514
11,460.60838902865805
12,445.9998737092588
13,452.1708381384745
14,466.16518164264374
15,451.67365143090734
16,459.2923065674509
17,441.9931337718059
18,479.03354348555797
19,454.0864692764537
20,440.89639838746666
21,452.11234558464304
22,481.37324563881515
23,550.6869219290578
24,446.76027690906733
25,466.60387579637944
26,461.04708318239375
27,463.53301672022945
28,478.4486179472437
29,449.94812109288017
30,538.2572542398793
31,466.8963385655366
32,486.0526499453294
33,444.2889665096895
34,458.56114964455804
35,474.64660194820084
36,452.0684761692695
37,470.1134290262651
38,440.7764886521122
39,442.0662494640952
40,445.9560042938852
41,449.4363112468552
42,443.68941783291734
43,445.0055002941245
44,444.3328359250631
45,442.02238004872163
46,440.80573492902795
47,444.6691681095938
48,440.5337445537118
49,453.64777512271803
50,444.0842425712795
51,441.1742380181659
52,443.3384625099288
53,461.48577733612944
54,441.94926435643237
55,454.2327006610323
56,444.02575001744805
57,441.4520776488652
58,440.65804123060354
59,442.73891383315663
60,442.35871223325233
61,445.31258620173946
62,451.48355063095516
63,440.87738830747145
64,440.8071972428737
65,442.38795851016806
66,440.12868361842914
67,445.12248540178734
68,441.64217844881733
69,441.3643388181181
70,441.3204694027445
71,443.63092527908594
72,444.4351978942681
73,445.4880638632338
74,451.80525967702806
75,450.5038003542788
76,447.4475644165866
77,459.7310007211866
78,445.0932391248716
79,442.68042127932523
80,448.12022878564807
81,452.5656628768366
82,457.6837613370866
83,460.3159262595009
84,441.7445404180224
85,449.1146022007823
86,443.8502723559538
87,447.94475112415375
88,444.1866045404845
89,442.4025816486259
90,452.1708381384745
91,442.4172047870838
92,442.7535369716145
93,441.248816024301
94,447.1112322320559
95,440.3553422645259
96,446.04374312463233
97,441.86152552568524
98,453.4576743227659
99,442.63655186395164
100,443.96725746361665
101,456.07521610672234
102,454.9053650300938
103,455.0515964146723
104,444.25972023277376
105,460.3159262595009
106,453.13596527669307
107,441.96388749489023
108,446.35082903224736
109,457.3912985679295
110,503.3079533256008
111,440.72969460904704
112,485.3214930224365
113,450.95711764647234
114,457.2450671833509
115,456.6601416450366
116,479.32600625471514
117,462.655628412758
118,460.90085179781516
119,524.5115040894937
120,452.9897338921145
121,464.702867796858
122,482.8355594846008
123,459.584769336608
124,459.7310007211866
125,590.4618585344292
126,459.584769336608
127,447.8716354318645
128,485.6139557915937
129,513.9828443998365
130,460.3159262595009
131,519.6858683984008
132,477.4249982551937
133,458.7073810291366
134,450.8401325388095
135,442.0370031871795
136,451.6151588770759
137,447.81314287803303
138,452.6095322922102
139,452.7557636767888
140,469.6747348725294
141,561.8005071570292
142,489.1235090214794
143,469.08980933421515
144,480.3496259467651
145,440.91394615361605
146,477.7174610243509
147,460.90085179781516
148,461.19331456697233
149,456.36767887587945
150,488.5385834831651
151,447.4914338319602
152,463.38678533565087
153,441.4667007873231
154,441.71529414110665
155,560.6306560804007
156,534.8939323945722
157,441.61293217190166
158,446.40932158607876
159,463.2405539510723
160,474.06167640988656
161,454.6129022609366
162,453.2529503843559
163,444.68379124805165
164,452.20008441539017
165,450.51842349273664
166,443.04599974077166
167,478.1561551780866
168,444.1427351251109
169,464.8490991814366
170,444.7130375249673
171,456.95260441419373
172,483.85917917665085
173,449.348572416108
174,440.93734317514867
175,491.6094425593151
176,501.6994080952365
177,448.3103295856002
178,444.0403731559059
179,443.0313766023138
180,445.0493697094981
181,458.1224554908223
182,482.3968653308651
183,448.19334447793733
184,476.10891579398657
185,472.16066841036513
186,444.12811198665304
187,463.09432256649376
188,452.85812564599377
189,442.2124808486738
190,506.3788124017508
191,460.3159262595009
192,456.51391026045803
193,449.61178890834947
194,466.750107180958
195,470.844585949158
196,456.07521610672234
197,455.6365219529866
198,455.92898472214375
199,451.1764647233402
200,462.3631656436009
201,457.2450671833509
202,455.92898472214375
203,445.56117955552304
204,469.820966257108
205,476.54760994772226
206,507.69489486295794
207,448.26646017022665
208,442.7827832485302
209,455.78275333756517
210,450.37219210815806
211,464.55663641227943
212,467.773726873008
213,449.2608335853609
214,489.56220317521513
215,471.13704871831516
216,448.85138570854093
217,532.4079988567364
218,445.1809779556188
219,457.97622410624376
220,470.2596604108437
221,515.8838523993579
222,447.5353032473338
223,454.11571555336945
224,450.5476697696523
225,441.92001807951664
226,502.7230277872865
227,523.4878843974436
228,464.9953305660152
229,475.962684409408
230,464.11794225854374
231,527.1436690119078
232,496.7275410195651
233,445.12248540178734
234,445.06399284795594
235,548.3472197758007
236,462.655628412758
237,464.8490991814366
238,453.852499061128
239,452.317069523053
240,499.50593732655796
241,442.38795851016806
242,472.59936256410083
243,455.3440591838295
244,449.0268633700352
245,533.1391557796293
246,451.05947961567733
247,474.64660194820084
248,456.36767887587945
249,451.0741027541352
250,441.5105702026966
251,446.4678141399102
252,462.2169342590223
253,442.9290146331088
254,441.33509254120236
255,455.1978277992509
256,440.8481420305557
257,448.12022878564807
258,459.1460751828723
259,455.78275333756517
260,477.27876687061513
261,489.85466594437224
262,524.6577354740722
263,444.36208220197875
264,441.12305703356344
265,447.84238915494876
266,448.90987826237233
267,484.15164194580797
268,448.42731469326304
269,472.7455939486794
270,448.2372138933109
271,447.4475644165866
272,441.1990973535443
273,459.2923065674509
274,449.65565832372306
275,453.95486103033306
276,448.89525512391447
277,463.97171087396515
278,469.23604071879373
279,445.9998737092588
280,442.49032047937305
281,458.85361241371515
282,453.5600362919709
283,445.0932391248716
284,445.07861598641375
285,442.4756973409152
286,498.6285490190865
287,454.9053650300938
288,498.0436234807722
289,451.2788266925452
290,443.6163021406281
291,449.2023410315295
292,447.79851973957517
293,481.37324563881515
294,462.0707028744437
295,441.0587152243489
296,468.94357794963656
297,448.13485192410593
298,485.17526163785794
299,440.7004483321314
300,447.9301279856959
301,468.50488379590087
302,554.4889379281007
303,446.55555297065735
304,452.87274878445163
305,463.09432256649376
306,443.25072367918165
307,444.0549962943638
308,441.87614866414305
309,455.78275333756517
310,455.3440591838295
311,446.96500084747737
312,460.0234634903437
313,465.2877933351723
314,445.7512803554752
315,444.0842425712795
316,459.7310007211866
317,467.773726873008
318,457.6837613370866
319,444.6106755557623
320,448.0617362318166
321,442.32946595633666
322,479.17977487013655
323,500.6757884031865
324,459.7310007211866
325,440.46647811680566
326,447.1404785089716
327,454.30581635332163
328,442.32946595633666
329,459.43853795202944
330,455.49029056840806
331,471.28328010289374
332,476.25514717856515
333,459.2923065674509
334,451.9514910616066
335,454.7591336455152
336,447.6669114934545
337,447.7254040472859
338,443.45544761759163
339,451.86375223085946
340,442.8558989408195
341,444.40595161735234
342,456.8063730296152
343,449.80188970830164
344,580.3718929985077
345,474.3541391790437
346,474.7928333327794
347,464.2641736431223
348,453.63315198426017
349,479.61846902387225
350,460.1696948749223
351,446.99424712439304
352,483.128022253758
353,466.8963385655366
354,462.2169342590223
355,522.3180333208151
356,453.0482264459459
357,442.8412758023616
358,445.2394705094502
359,460.46215764407947
360,473.3305194869937
361,442.1247420179266
362,455.78275333756517
363,454.26194693794804
364,473.76921364072945
365,497.16623517330083
366,516.3225465530936
367,568.0884566939078
368,500.9682511723437
369,451.43968121558163
370,516.1763151685151
371,488.246120714008
372,476.25514717856515
373,450.0797293390009
374,444.34745906352094
375,510.03459701621506
376,500.9682511723437
377,470.2596604108437
378,458.1224554908223
379,471.42951148747227
380,447.9155048472381
381,459.7310007211866
382,459.8772321057652
383,493.8029133279937
384,495.41145855835794
385,443.25072367918165
386,445.25409364790806
387,441.0426297720452
388,453.19445783052447
389,444.7130375249673
390,490.5858228672651
391,440.97682564898486
392,442.68042127932523
393,463.67924810480804
394,477.13253548603655
395,478.009923793508
396,456.36767887587945
397,447.1404785089716
398,448.13485192410593
399,449.94812109288017
400,444.34745906352094
401,445.02012343258235
402,447.78389660111736
403,443.76253352520666
404,443.3238393714709
405,457.2450671833509
406,460.7546204132366
407,445.29796306328166
408,459.8772321057652
409,442.25635026404734
410,456.07521610672234
411,452.0830993077273
412,516.0300837839364
413,450.065106200543
414,446.76027690906733
415,451.46892749249736
416,455.1978277992509
417,449.4948038006866
418,452.0246067538959
419,451.6882745693652
420,442.91439149465094
421,443.1922311253502
422,462.2169342590223
423,444.17198140202663
424,443.63092527908594
425,442.4610742024573
426,442.00775691026377
427,444.20122767894236
428,454.6129022609366
429,442.25635026404734
430,443.3677087868445
431,451.0302333387616
432,449.2608335853609
433,445.7659034939331
434,451.46892749249736
435,688.4368862020718
436,520.4170253212936
437,449.42168810839735
438,445.4880638632338
439,469.820966257108
440,446.5409298321995
441,650.4167262116433
442,446.5847992475731
443,556.8286400813578
444,532.1155360875794
445,451.3665655232923
446,543.9602782384436
447,447.78389660111736
448,448.45656097017877
449,453.19445783052447
450,515.0064640918865
451,559.3145736191935
452,454.3350626302373
453,464.8490991814366
454,444.15735826356877
455,575.1075631536792
456,442.0662494640952
457,447.6961577703702
458,453.13596527669307
459,445.40032503248665
460,492.6330622513651
461,445.0932391248716
462,442.5049436178309
463,445.1078622633295
464,454.6129022609366
465,528.0210573193793
466,463.2405539510723
467,473.76921364072945
468,446.45319100145235
469,454.6129022609366
470,452.2293306923059
471,464.702867796858
472,480.78832010050087
473,444.17198140202663
474,448.5881692162995
475,441.67142472573306
476,452.68264798449945
477,440.7194584121266
478,441.53981647961234
479,447.78389660111736
480,444.58142927884666
481,441.4959470642388
482,471.868205641208
483,463.67924810480804
484,448.2957064471423
485,441.4959470642388
486,474.06167640988656
487,451.08872589259306
488,440.5352068675576
489,463.53301672022945
490,444.3182127866052
491,442.63655186395164
492,448.3980684163473
493,443.1337385715188
494,451.0009870618459
495,440.4079855629742
496,443.2653468176395
497,441.81765611031165
498,447.0527396782245
499,442.00775691026377
500,501.1144825569222
501,463.09432256649376
502,475.0852961019366
503,446.4678141399102
504,523.1954216282865
505,446.38007530916303
506,467.4812641038509
507,467.773726873008
508,468.65111518047945
509,478.74108071640086
510,462.5093970281795
511,443.7479103867488
512,449.8896285390488
513,441.8907718026009
514,442.59268244857805
515,488.9772776369008
516,460.90085179781516
517,440.60247330446373
518,500.52955701860793
519,490.7320542518437
520,444.50831358655734
521,456.6601416450366
522,443.58705586371235
523,448.98299395466165
524,448.632038631673
525,485.3214930224365
526,448.80751629316734
527,453.0920958613195
